Price,Adj Close,Close,High,Low,Open,Volume,daily_difference,return_1d,return_5d,return_21d,ma_7,ma_21,std_7,std_21,momentum_7,momentum_21,rsi_14,macd,macd_signal
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2014-10-08,352.94000244140625,352.94000244140625,354.364013671875,327.18798828125,336.1159973144531,54736300,16.75299072265625,0.04983235561959076,-0.018280310774875352,-0.2282664508908061,343.30943080357144,382.38099888392856,19.656764873583533,33.571189946632124,-30.67498779296875,-104.39401245117188,27.775350675520585,-26.96406290062015,-23.58972208043956
2014-10-09,365.0260009765625,365.0260009765625,382.72601318359375,347.68701171875,352.74798583984375,83641104,12.08599853515625,0.03424377642532228,0.10995361015548877,-0.13998209669939354,341.8742893763951,379.551760718936,17.159361911776855,32.33004461819886,-10.045989990234375,-59.41400146484375,35.319233062186115,-24.54872547118299,-23.78152275858825
2014-10-10,361.56201171875,361.56201171875,375.0669860839844,352.9630126953125,364.68701171875,43665700,-3.4639892578125,-0.009489705523839986,0.12808336932485997,-0.08418013129339652,342.16714913504467,377.9691903250558,17.524172101055058,32.359917439036415,2.050018310546875,-33.233978271484375,36.159744900070756,-22.65293915847309,-23.55580603856522
2014-10-11,362.29901123046875,362.29901123046875,367.1910095214844,355.95098876953125,361.36199951171875,13345200,0.73699951171875,0.002038376510340001,0.09761299641485799,-0.11397536197942437,346.9432939801897,375.7499055408296,17.847828820179068,31.72416112838851,33.433013916015625,-46.60498046875,37.64907555686436,-20.850691355176025,-23.01478310188738
2014-10-12,378.54901123046875,378.54901123046875,379.4330139160156,356.1440124511719,362.6059875488281,17552800,16.25,0.04485245473017008,0.12600724607159508,-0.05082982701928984,355.23457990373885,374.7845720563616,16.981631518795112,31.292521207957986,58.03900146484375,-20.272003173828125,50.47305935070765,-17.904762832875804,-21.992779048085065
2014-10-13,390.41400146484375,390.41400146484375,397.22601318359375,368.8970031738281,377.9209899902344,35221400,11.864990234375,0.03134333965318792,0.10617668375422751,-0.029187984534802203,363.85386439732144,374.22561936151413,17.392524268848906,30.881369133345387,60.334991455078125,-11.738006591796875,54.8296193540155,-14.44616134704512,-20.48345550787708
2014-10-14,400.8699951171875,400.8699951171875,411.697998046875,391.3240051269531,391.6919860839844,38491500,10.45599365234375,0.026781810112118443,0.09819572864598891,-0.08013242858070224,373.0942905970982,372.5627150762649,17.42622671202223,28.226527794860782,64.6829833984375,-34.920989990234375,54.529605069204656,-10.737705859132745,-18.534305578128212
2014-10-15,394.77301025390625,394.77301025390625,402.22698974609375,388.7659912109375,400.9549865722656,25267100,-6.09698486328125,-0.015209381938149025,0.09185422544055943,-0.06718251726815228,379.0704345703125,371.2088114420573,16.511671336201854,26.291539343122484,41.8330078125,-28.431976318359375,53.56509204030842,-8.196222934800687,-16.46668904946271
